CustomerName                                                                                         Sales_2013                              Sales_2014                              Sales_2015                              Sales_2016
Can ozcan                                                                                            73387.25                                57487.60                                47011.05                                26726.90
Caterina Pinto                                                                                       69666.65                                67138.35                                92268.35                                33727.95
Celica Barajas                                                                                       86986.85                                59628.60                                75885.55                                23206.60
Chaayaadaevi Sonti                                                                                   70377.85                                95633.65                                81170.60                                43467.30
Chandana Shasthri                                                                                    45972.60                                61472.25                                72110.75                                46172.55
Chandrashekhar Dasgupta                                                                              73089.40                                97628.55                                109815.50                               23956.40
Chin-Sun Chang                                                                                       70884.60                                101015.25                               93148.95                                33922.00
Chompoo Atitarn                                                                                      0.00                                    35169.20                                60463.85                                42504.35
Christian Couet                                                                                      0.00                                    0.00                                    56629.10                                41177.55
Chuan Wattanasin                                                                                     92867.95                                55776.90                                55186.35                                46816.65
Clarissa Manfrin                                                                                     66301.90                                89269.35                                110621.20                               13415.90
Cong Hoa                                                                                             82998.25                                136808.70                               93102.25                                18602.90
Cosmina Vlad                                                                                         62012.00                                88818.35                                83481.95                                25605.00
Crina Grasu                                                                                          67496.75                                89408.30                                66725.20                                50852.90
Cuneyt Arslan                                                                                        0.00                                    55556.50                                95419.20                                22840.80
Daakshaayaani Kommineni                                                                              82978.30                                69749.55                                57669.10                                49482.00
Daakshaayaani Sankaramanchi                                                                          79751.85                                98381.05                                63490.35                                54560.70
Daevasree Samavedam                                                                                  68352.65                                88032.00                                74973.10                                17636.40
Damodar Shenoy                                                                                       0.00                                    0.00                                    67509.55                                64362.35
Damodara Trivedi                                                                                     0.00                                    6001.00                                 71156.85                                29721.60
Daniel Martensson                                                                                    86024.85                                59324.45                                129160.35                               71552.55
Daniella Cavalcante                                                                                  0.00                                    39392.95                                75893.60                                31526.80
Darshana Madhunapantula                                                                              64435.20                                63514.80                                108050.80                               27635.95
David Jaramillo                                                                                      0.00                                    7475.20                                 114819.40                               57410.30
David Novacek                                                                                        38832.50                                35045.20                                104307.75                               28809.30
David safranek                                                                                       73634.00                                41451.15                                92279.20                                57830.90
Debbie Molina                                                                                        77116.70                                78928.30                                91855.60                                20594.10
Dena Glissen                                                                                         75807.25                                68448.10                                117560.40                               44099.15
Devraj Rao                                                                                           54960.80                                53668.20                                40909.60                                45373.30
Dhaatri Chavva                                                                                       30085.45                                104709.60                               82114.05                                42992.95
Dhanishta Mokkapati                                                                                  62819.25                                72655.90                                100493.75                               21366.10
Dhanishta Pullela                                                                                    19510.60                                56271.55                                67360.40                                34064.15
Dinh Mai                                                                                             105544.20                               92317.10                                107497.65                               47818.80
Dipti Shah                                                                                           0.00                                    23781.80                                87104.45                                29560.10
Dominic Davignon                                                                                     70146.40                                71248.50                                67995.60                                46086.15
Drazenka Jelic                                                                                       113952.20                               54109.80                                82648.05                                32709.15
Drishti Bose                                                                                         59588.75                                52698.50                                88789.20                                32523.20
Durdanah Abbasi                                                                                      51407.00                                94614.90                                76115.20                                27686.65
Ebru Erdogan                                                                                         59533.90                                52842.50                                83127.20                                42043.00
Edgar Jogi                                                                                           93567.45                                99761.45                                71744.00                                33163.35
Edmee Glissen                                                                                        63855.05                                89598.10                                95785.35                                31306.30
Elina Kaleja                                                                                         103254.05                               87295.00                                85301.85                                25164.10
Eliza Persson                                                                                        56585.00                                36574.40                                94148.95                                20332.75
Emil Roman                                                                                           101253.35                               44923.50                                77285.50                                27276.25
Emilie Hrdlickova                                                                                    60376.90                                38262.20                                96783.05                                33085.10
Emily Whittle                                                                                        47068.05                                92882.90                                61431.20                                72316.55
Emma Salpa                                                                                           0.00                                    0.00                                    17918.35                                33521.00
Emma Van Zant                                                                                        0.00                                    35839.35                                87611.90                                10809.75
Eric Torres                                                                                          86825.40                                70164.75                                105252.75                               14024.60
Erik Malk                                                                                            0.00                                    10485.20                                95342.40                                54421.40
Eugen Agafitei                                                                                       87519.60                                128613.25                               58945.20                                34420.80
Eva Schulteisz                                                                                       77836.30                                72968.50                                101815.20                               26237.70
Fabrice Cloutier                                                                                     4081.50                                 47263.10                                61633.85                                40984.70
Farzana Habibi                                                                                       4931.00                                 89931.30                                50846.60                                35299.05
Francisca Laureano                                                                                   76424.85                                78302.20                                34744.70                                27023.25
Gabriela Hernandes                                                                                   56132.00                                73947.65                                111908.65                               41725.20
Ganesh Majumdar                                                                                      0.00                                    0.00                                    0.00                                    46772.25
Gasper Havzija                                                                                       49921.60                                85354.20                                64014.20                                56657.80
Gayatri Gajula                                                                                       55914.50                                77151.60                                79975.85                                37492.00
Geza Roman                                                                                           66720.10                                47800.35                                102280.10                               12332.25
Gopalgobinda Sikdar                                                                                  76206.25                                70595.40                                62348.80                                37813.15
Gunnar Lohmus                                                                                        92185.70                                80873.75                                102865.50                               39103.40
Hai Banh                                                                                             16554.00                                86083.15                                58788.50                                39992.80
Hana Hlouskova                                                                                       81606.65                                83576.00                                53348.10                                18594.90
Hanita Nookala                                                                                       0.00                                    0.00                                    67603.95                                25187.70
Harsha Huq                                                                                           76477.65                                74830.95                                76429.70                                56908.25
Hee-Young Suh                                                                                        69113.85                                63725.00                                81508.75                                32212.40
Hoc Tran                                                                                             83177.00                                84935.80                                91559.70                                46029.20
Hue Ton                                                                                              78886.75                                67064.65                                105895.35                               20921.10
Ian Olofsson                                                                                         0.00                                    0.00                                    24414.00                                42499.85
Ida Celma                                                                                            91071.90                                82400.55                                88174.15                                45128.60
Ingrida Zeltina                                                                                      98187.00                                92409.75                                114089.15                               55173.55
In-Su Bae                                                                                            82951.50                                132140.20                               81984.00                                28225.65
Ioana Florea                                                                                         65119.95                                118177.75                               69562.25                                40729.70
Irma Berzina                                                                                         44523.60                                58138.90                                139665.00                               46006.80
Isa Hulsegge                                                                                         24228.90                                78388.90                                44929.80                                26415.60
Isidora Morales                                                                                      73395.85                                78211.70                                89384.65                                46996.10
Isidora Urias                                                                                        71670.95                                66607.60                                81272.35                                40995.75
Ivan Sepulveda                                                                                       86875.45                                55297.20                                84209.25                                62415.40
Ivana Hadrabova                                                                                      0.00                                    0.00                                    18525.30                                30811.65
Jack Walker                                                                                          75826.90                                103670.35                               75537.90                                48206.80
Jackson Kolios                                                                                       69250.60                                69065.85                                48231.05                                34935.40
Jai Lamble                                                                                           68409.55                                68912.55                                102810.60                               49929.10
Jakub Lukes                                                                                          83014.30                                81855.90                                65915.75                                46796.30
Jana Fialova                                                                                         52000.15                                109196.35                               117440.25                               23502.45
Jaroslav Fisar                                                                                       0.00                                    0.00                                    0.00                                    54552.40
Jasna Cerkez                                                                                         65930.90                                118695.60                               96036.40                                31713.80
Jay Bhuiyan                                                                                          85068.45                                43993.10                                65705.15                                16046.25
Jayanta Thakur                                                                                       53413.10                                62328.80                                97851.80                                55762.20
Jibek Juniskyzy                                                                                      0.00                                    0.00                                    0.00                                    13208.10
Jitka Necesana                                                                                       92298.15                                72066.10                                67279.90                                34086.70
Joel Carrillo                                                                                        83693.55                                63596.25                                95590.75                                56386.70
Johanna Hoornstra                                                                                    50140.25                                41553.20                                72977.55                                17664.85
Juan Morse                                                                                           57862.20                                85131.65                                64078.10                                13618.70
Kalyani Benjaree                                                                                     0.00                                    0.00                                    0.00                                    44808.45
Kamala Nishad                                                                                        80876.00                                56230.50                                114611.85                               32516.80
Kamila Michnova                                                                                      49083.10                                100060.45                               101379.05                               17995.30
Katerina Hadrabova                                                                                   85542.55                                76326.00                                78999.50                                37115.60
Kertu Sokk                                                                                           66140.85                                64211.25                                87510.15                                16015.85
Knut Svensson                                                                                        44748.55                                66395.05                                143589.50                               39809.60
Krishnam Allu                                                                                        70202.15                                96580.25                                77985.50                                33695.90
Kristi Part                                                                                          41997.40                                92117.60                                79860.45                                18544.50
Kristiina Ivanov                                                                                     72114.05                                68676.65                                59147.45                                15302.95
Kumar Kamei                                                                                          115466.75                               67566.40                                103718.65                               17986.70
Kumar Naicker                                                                                        62391.80                                62057.90                                75894.70                                74694.75
Kwanjai Saowaluk                                                                                     82893.60                                74845.95                                112651.45                               6932.20
Lakshmi Benipal                                                                                      74087.20                                87763.90                                94571.10                                26229.35
Lana Goransson                                                                                       68440.10                                78926.20                                120511.55                               8281.20
Laszlo Gardenier                                                                                     80132.75                                88813.80                                149631.70                               36102.55
Laura Sykorova                                                                                       67339.30                                84318.40                                69231.85                                27363.90
Leila Carvalho                                                                                       90235.40                                78615.05                                80276.50                                37947.20
Leonardo Folliero                                                                                    64299.40                                60292.85                                77731.10                                61787.85
Leyla Asef zade                                                                                      61989.40                                55602.35                                101678.60                               31935.10
Leyla Siavashi                                                                                       78743.85                                117487.80                               82473.50                                30909.60
Libuse Kuchtova                                                                                      52898.95                                65398.60                                93900.65                                37430.00
Libuse Valentova                                                                                     79485.85                                94348.00                                99329.20                                39881.45
Liia Orav                                                                                            42343.00                                69465.70                                97632.35                                16260.95
Liidia Lepp                                                                                          87862.65                                73719.70                                75083.65                                47639.95
Lilli Sokk                                                                                           83953.15                                75503.85                                115804.55                               31253.00
Linh Dao                                                                                             72843.75                                77022.05                                105918.55                               37559.35
Lorin Astrom                                                                                         92574.10                                60268.50                                44558.75                                24206.05
Ludmila Smidova                                                                                      92033.65                                76123.60                                89527.35                                15109.00
Luis Saucedo                                                                                         0.00                                    0.00                                    3016.00                                 37020.80
Madhu Dwivedi                                                                                        63317.65                                70465.50                                68932.50                                27064.80
Magdalena Michnova                                                                                   61490.25                                70599.65                                66482.85                                34299.00
Mahavir Sonkar                                                                                       74425.50                                80164.80                                60048.20                                27580.35
Mahmut ozbek                                                                                         89452.95                                72957.40                                108163.95                               23221.20
Maksims Krastins                                                                                     101619.10                               60906.55                                101094.50                               46712.45
Malorie Bousquet                                                                                     61073.45                                62337.30                                77047.35                                33825.15
Manca Hrastovsek                                                                                     45154.55                                49551.70                                67523.05                                31103.70
Manjunatha Karnik                                                                                    0.00                                    433.00                                  116501.65                               19183.35
Marcela Lucescu                                                                                      48527.40                                94289.65                                98086.25                                29626.80
Marie LeBatelier                                                                                     77162.35                                126749.95                               88053.15                                15857.05
Marija Justina Pasek                                                                                 73326.50                                66260.70                                68912.55                                28815.10
Maryann Huddleston                                                                                   64780.85                                111239.95                               78295.90                                48697.35
Matteo Cattaneo                                                                                      0.00                                    0.00                                    105314.30                               39637.10
Matyas Sedlar                                                                                        82662.10                                51758.85                                70002.70                                15803.40
Mauno Laurila                                                                                        109827.40                               108614.90                               117252.00                               33364.00
Meera Patel                                                                                          67356.80                                78031.85                                101751.10                               41543.40
Melani Ravlen                                                                                        54375.25                                78206.50                                106126.55                               15024.25
Mikhail Degtyarev                                                                                    68536.80                                51039.50                                77250.70                                24731.30
Milinka Zujovic                                                                                      77460.00                                33638.10                                47695.10                                21410.10
Miriam House                                                                                         46089.25                                72763.40                                99843.05                                28136.80
Nada Ana Slosar                                                                                      57064.50                                86081.45                                89742.10                                39232.25
Nada Jovanovic                                                                                       60833.35                                89045.80                                58347.80                                30135.10
Nadir Seddigh                                                                                        19305.50                                65265.05                                62929.85                                21856.95
Narendra Tickoo                                                                                      27498.40                                100905.80                               77308.05                                11151.40
Nasrin Omidzadeh                                                                                     71098.50                                118117.30                               104459.80                               68264.15
Neil Farrelly                                                                                        79201.30                                83643.05                                66479.70                                44772.20
Nguyen Banh                                                                                          0.00                                    0.00                                    86178.40                                25761.10
Nhung Thach                                                                                          38765.55                                62872.10                                62270.20                                30135.95
Nicolo Cattaneo                                                                                      71672.20                                100196.55                               46487.40                                22058.65
Nils Kaulins                                                                                         45328.95                                62535.30                                95173.90                                32605.05
Olafs Rozitis                                                                                        42480.80                                88125.30                                42874.70                                50236.00
Olya Izmaylov                                                                                        65006.70                                101447.25                               77601.05                                44204.85
Om Yadav                                                                                             58020.75                                120664.45                               109419.60                               33439.85
Pari Hosseini                                                                                        45213.00                                103920.70                               55268.60                                12674.20
Pavel Bogdanov                                                                                       88496.75                                67815.70                                84583.10                                33288.80
Philip Walker                                                                                        88423.30                                76746.40                                76710.20                                59611.40
Phoung Cu                                                                                            48469.85                                67771.80                                91521.35                                45066.35
Pinja Jantunen                                                                                       89201.85                                71641.90                                100088.50                               30280.85
Prabodh Nair                                                                                         91364.25                                84346.25                                100346.75                               42528.40
Radha Barua                                                                                          57239.95                                75360.65                                83313.95                                15084.00
Raghu Sandhu                                                                                         49211.15                                124154.20                               70684.10                                33170.75
Raj Verma                                                                                            0.00                                    0.00                                    79171.25                                66553.15
Rajeev Sandhu                                                                                        31044.75                                97721.20                                101762.70                               35121.35
Rani Ganguly                                                                                         96769.75                                74261.90                                92816.00                                32786.80
Ratan Poddar                                                                                         114713.85                               58682.15                                70265.05                                32694.60
Richard Friar                                                                                        57144.35                                69215.85                                79732.15                                27551.80
Richard Zahradnicek                                                                                  46125.85                                53269.50                                131344.20                               20466.90
Risto Valbe                                                                                          80716.20                                70435.00                                97497.95                                34402.00
Rodrigo Figueiredo                                                                                   77019.10                                82588.55                                52206.00                                34182.25
Roko Ilic                                                                                            56891.15                                72623.65                                90854.10                                29203.30
Sabine Alksne                                                                                        53818.50                                111884.50                               62549.00                                71392.00
Sabine Zalite                                                                                        78695.95                                94572.30                                82022.85                                41580.60
Santiago Vera                                                                                        71711.70                                77908.00                                74334.25                                14299.25
Sara Huiting                                                                                         114666.80                               87874.25                                61170.25                                8198.65
Sara Walkky                                                                                          71622.35                                78288.65                                60453.85                                34099.90
Satish Mittal                                                                                        62857.00                                135527.90                               97226.25                                50227.95
Seo-yun Paik                                                                                         118253.05                               74223.65                                122536.50                               27125.65
Sercan Celik                                                                                         67198.75                                114839.30                               70388.40                                28253.20
Serdar ozCelik                                                                                       64718.00                                107164.15                               54338.55                                29610.45
Serdar ozden                                                                                         0.00                                    56184.20                                92021.00                                14454.80
Shah Alizadeh                                                                                        58427.10                                47309.25                                60627.80                                41251.00
Shantanu Huq                                                                                         72476.90                                107528.85                               102576.10                               43162.10
Shi Tu                                                                                               85410.80                                81315.70                                77769.35                                41764.55
Shyam Poddar                                                                                         68054.15                                105902.30                               116941.90                               30199.70
Sointu Savonheimo                                                                                    77120.50                                93898.85                                75802.35                                28550.75
Som Mukherjee                                                                                        0.00                                    27170.15                                107369.95                               31649.60
Staffan Persson                                                                                      50838.00                                81433.60                                59892.50                                13155.30
Stefan Selezeanu                                                                                     54884.70                                86198.00                                100939.35                               26263.50
Sumati Bhat                                                                                          72624.25                                103038.45                               100099.20                               23905.55
Sumati Chatterjee                                                                                    89153.25                                27120.20                                106479.90                               18122.60
Suparna Bhattacharya                                                                                 40006.50                                100897.25                               81413.30                                32916.55
Surendra Sahu                                                                                        90984.50                                76720.60                                61814.90                                25682.15
Svetlana Todorovic                                                                                   75353.40                                89408.65                                141414.10                               16549.00
Sylvie Laramee                                                                                       0.00                                    0.00                                    23497.50                                15237.00
Tai Bach                                                                                             61187.40                                90646.10                                87450.00                                31877.95
Tailspin Toys (Absecon, NJ)                                                                          65505.05                                99491.95                                66471.90                                29252.15
Tailspin Toys (Aceitunas, PR)                                                                        70659.85                                78273.70                                65704.45                                23001.40
Tailspin Toys (Airport Drive, MO)                                                                    108513.70                               89417.40                                89383.60                                38580.45
Tailspin Toys (Alstead, NH)                                                                          55145.30                                51725.15                                56742.15                                40691.00
Tailspin Toys (Amanda Park, WA)                                                                      80472.20                                51659.80                                84618.15                                31261.60
Tailspin Toys (Andrix, CO)                                                                           71281.40                                76431.10                                82011.85                                33358.80
Tailspin Toys (Annamoriah, WV)                                                                       111613.55                               68642.90                                88035.25                                21133.40
Tailspin Toys (Antares, AZ)                                                                          79265.05                                84282.40                                82771.20                                35537.30
Tailspin Toys (Antonito, CO)                                                                         45038.00                                58076.25                                91130.50                                34910.00
Tailspin Toys (Arbor Vitae, WI)                                                                      80064.65                                52693.00                                104872.90                               28988.60
Tailspin Toys (Arietta, NY)                                                                          65461.80                                58633.05                                77258.20                                87411.70
Tailspin Toys (Armstrong Creek, WI)                                                                  122263.00                               73693.25                                63252.55                                38964.35
Tailspin Toys (Arrow Rock, MO)                                                                       54018.55                                74124.70                                53243.20                                47767.15
Tailspin Toys (Ashtabula, OH)                                                                        104572.30                               86970.95                                63290.00                                31528.35
Tailspin Toys (Aspen Park, CO)                                                                       83896.20                                72517.20                                71538.40                                34370.20
Tailspin Toys (Astor Park, FL)                                                                       94595.00                                58729.50                                89391.25                                5611.50
Tailspin Toys (Avenal, CA)                                                                           81914.55                                85576.30                                81506.20                                27942.85
Tailspin Toys (Baraboo, WI)                                                                          84397.20                                53884.85                                79217.60                                15663.25
Tailspin Toys (Batson, TX)                                                                           78908.55                                121113.50                               81053.45                                15412.00
Tailspin Toys (Belgreen, AL)                                                                         65809.75                                104103.45                               77188.55                                51714.65
Tailspin Toys (Bernie, MO)                                                                           73894.85                                69474.10                                85239.55                                17624.60
Tailspin Toys (Bethania, NC)                                                                         102971.85                               99182.00                                74774.50                                44297.60
Tailspin Toys (Big Moose, NY)                                                                        74965.15                                101497.65                               108488.75                               49635.60
Tailspin Toys (Biscay, MN)                                                                           79681.75                                67580.10                                76692.10                                28977.65
Tailspin Toys (Bow Mar, CO)                                                                          78018.80                                43754.95                                67469.70                                41338.75
Tailspin Toys (Bowlus, MN)                                                                           106586.50                               45075.70                                130261.05                               25031.20
Tailspin Toys (Boyden Arbor, SC)                                                                     81928.35                                62430.50                                99149.95                                40329.50
Tailspin Toys (Bratenahl, OH)                                                                        58878.80                                58936.75                                90995.00                                30262.25
Tailspin Toys (Brown City, MI)                                                                       89939.80                                92705.70                                100084.95                               37371.70
Tailspin Toys (Buell, MO)                                                                            78014.00                                99760.05                                122881.60                               37166.40
Tailspin Toys (Carbonville, UT)                                                                      81103.35                                90278.45                                83050.75                                36311.20
Tailspin Toys (Caselton, NV)                                                                         52546.05                                68650.15                                78904.25                                48837.45
Tailspin Toys (Cherry Grove Beach, SC)                                                               40953.60                                112100.60                               76165.45                                13982.30
Tailspin Toys (Cheyenne Wells, CO)                                                                   95518.95                                101980.80                               93286.00                                36906.35
Tailspin Toys (Clewiston, FL)                                                                        73815.85                                65884.30                                114941.35                               4629.00
Tailspin Toys (Cokato, MN)                                                                           85376.10                                68808.30                                77152.40                                9133.00
Tailspin Toys (College Place, WA)                                                                    107995.85                               68359.95                                27749.40                                20430.40
Tailspin Toys (Coney Island, MO)                                                                     84202.40                                57477.20                                115384.05                               38543.60
Tailspin Toys (Corfu, NY)                                                                            63546.80                                81244.60                                81911.55                                23797.35
Tailspin Toys (Cortaro, AZ)                                                                          74860.45                                65091.95                                78407.65                                52894.40
Tailspin Toys (Crary, ND)                                                                            66762.75                                91444.70                                48334.90                                38224.45
Tailspin Toys (Cundiyo, NM)                                                                          69652.50                                112527.00                               79203.00                                25475.55
Tailspin Toys (Dahlia, NM)                                                                           55170.10                                72689.65                                95469.10                                26584.95
Tailspin Toys (Dallardsville, TX)                                                                    67442.20                                86088.30                                58790.35                                29948.20
Tailspin Toys (Devault, PA)                                                                          111720.30                               81381.10                                78642.10                                35057.30
Tailspin Toys (Diablock, KY)                                                                         62855.65                                44754.15                                62580.10                                53794.20
Tailspin Toys (Donner, LA)                                                                           56958.50                                80344.20                                56227.25                                47771.00
Tailspin Toys (Dracut, MA)                                                                           82469.95                                59849.40                                79947.45                                43108.90
Tailspin Toys (Dundarrach, NC)                                                                       74052.65                                50041.40                                64337.10                                17957.70
Tailspin Toys (East Dailey, WV)                                                                      80626.55                                62362.15                                50800.25                                29752.80
Tailspin Toys (East Fultonham, OH)                                                                   63367.15                                76871.10                                119377.30                               25228.70
Tailspin Toys (East Portal, CO)                                                                      84682.80                                59494.05                                92188.20                                38061.30
Tailspin Toys (Eastchester, NY)                                                                      72594.70                                102600.40                               104683.65                               44052.05
Tailspin Toys (Eden Valley, MN)                                                                      59930.60                                47380.90                                97275.65                                26897.25
Tailspin Toys (Edgartown, MA)                                                                        75656.25                                68374.30                                77461.00                                26259.60
Tailspin Toys (Ekron, KY)                                                                            60183.05                                61108.15                                65106.15                                24814.00
Tailspin Toys (El Centro, CA)                                                                        58706.80                                90360.80                                120879.80                               28931.00
Tailspin Toys (Elrosa, MN)                                                                           64069.90                                81300.80                                98639.00                                27531.75
Tailspin Toys (Eulaton, AL)                                                                          54988.45                                69921.95                                67684.45                                52625.35
Tailspin Toys (Fairfield Glade, TN)                                                                  75117.50                                56560.20                                51765.90                                28551.30
Tailspin Toys (Fieldbrook, CA)                                                                       84077.15                                64383.30                                136188.70                               59355.90
Tailspin Toys (Fishtail, MT)                                                                         47012.45                                80786.55                                55786.25                                46890.55
Tailspin Toys (Francis Mills, NJ)                                                                    94486.85                                54220.35                                41489.60                                13763.60
Tailspin Toys (Frankewing, TN)                                                                       125377.10                               75860.30                                76545.55                                47632.80
Tailspin Toys (Furley, KS)                                                                           97102.95                                69358.80                                80121.85                                63194.70
Tailspin Toys (Gardere, LA)                                                                          50106.65                                89248.90                                107401.85                               30203.35
Tailspin Toys (Gasport, NY)                                                                          67880.40                                79662.90                                71816.20                                37769.90
Tailspin Toys (Glen Avon, CA)                                                                        90944.35                                91341.70                                78174.15                                20431.10
Tailspin Toys (Glen Park, NY)                                                                        64000.20                                84317.65                                92669.55                                36858.35
Tailspin Toys (Goffstown, NH)                                                                        77674.50                                54590.35                                100816.90                               28346.10
Tailspin Toys (Good Hart, MI)                                                                        78029.85                                90664.40                                84889.40                                86283.70
Tailspin Toys (Great Neck Estates, NY)                                                               67752.25                                54749.85                                78800.20                                23218.40
Tailspin Toys (Guin, AL)                                                                             85213.45                                117163.75                               73441.25                                35886.70
Tailspin Toys (Gum Branch, GA)                                                                       91192.50                                58541.45                                129741.65                               18182.10
Tailspin Toys (Hahira, GA)                                                                           47308.95                                48598.95                                95503.95                                44612.15
Tailspin Toys (Hambleton, WV)                                                                        90069.55                                44515.20                                107063.35                               34955.15
Tailspin Toys (Hanoverton, OH)                                                                       55798.20                                75604.30                                113854.90                               25409.40
Tailspin Toys (Hardeeville, SC)                                                                      95205.90                                82320.95                                70562.50                                16986.90
Tailspin Toys (Hayes Center, NE)                                                                     79389.80                                59823.25                                135793.55                               41330.50
Tailspin Toys (Head Office)                                                                          76472.80                                103790.30                               112108.20                               13123.10
Tailspin Toys (Hedrick, IA)                                                                          100925.95                               84427.65                                43827.15                                56062.20
Tailspin Toys (Heilwood, PA)                                                                         49472.90                                92575.20                                50733.15                                46345.05
Tailspin Toys (Hiteman, IA)                                                                          39613.45                                78280.10                                71712.55                                36732.60
Tailspin Toys (Hodgdon, ME)                                                                          73380.75                                58817.75                                77358.60                                59118.40
Tailspin Toys (Hollywood Park, TX)                                                                   59287.95                                88174.60                                75911.55                                12363.80
Tailspin Toys (Howells, NE)                                                                          79632.35                                99066.70                                29352.80                                48532.55
Tailspin Toys (Idria, CA)                                                                            79098.80                                93379.95                                72438.05                                19489.95
Tailspin Toys (Ikatan, AK)                                                                           54120.80                                50535.25                                94837.60                                18808.35
Tailspin Toys (Imlaystown, NJ)                                                                       46187.05                                79169.15                                90604.00                                38028.10
Tailspin Toys (Impact, TX)                                                                           113968.75                               124999.40                               41732.10                                40463.70
Tailspin Toys (Indios, PR)                                                                           150197.65                               54074.45                                58681.40                                30484.55
Tailspin Toys (Inguadona, MN)                                                                        85747.80                                136123.60                               85055.45                                74658.50
Tailspin Toys (Jemison, AL)                                                                          85957.75                                50740.25                                77123.45                                32105.15
Tailspin Toys (Jessie, ND)                                                                           90437.10                                87406.70                                58205.20                                20688.60
Tailspin Toys (Kalvesta, KS)                                                                         111207.30                               69609.75                                76202.55                                24828.25
Tailspin Toys (Kerby, OR)                                                                            93302.65                                81584.00                                59169.05                                69534.80
Tailspin Toys (King Cove, AK)                                                                        59420.15                                92876.35                                77040.95                                51093.20
Tailspin Toys (Knifley, KY)                                                                          99998.50                                72545.45                                49201.10                                28860.80
Tailspin Toys (Koontzville, WA)                                                                      79382.50                                95829.55                                98817.00                                25338.20
