CustomerName                                                                                         Sales_2014M1                            Sales_2014M2                            Sales_2014M3                            Sales_2014M4                            Sales_2014M5                            Sales_2014M6                            Sales_2014M7                            Sales_2014M8                            Sales_2014M9                            Sales_2014M10                           Sales_2014M11                           Sales_2014M12
Amarasimha Vinjamuri                                                                                 9480.40                                 9263.10                                 12530.00                                9139.40                                 8073.00                                 18620.90                                16008.20                                20180.20                                1698.00                                 3933.25                                 10532.35                                342.00
Amet Shergill                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Amrita Ganguly                                                                                       0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Ana Florea                                                                                           17488.50                                5307.80                                 8569.00                                 17244.80                                15071.25                                12992.00                                971.00                                  7517.00                                 0.00                                    9357.80                                 1080.00                                 551.60
Anand Mudaliyar                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Anca Gogean                                                                                          10773.75                                1621.50                                 7733.90                                 1721.60                                 0.00                                    11919.80                                7066.00                                 4603.00                                 4981.80                                 5377.00                                 16179.90                                965.10
Andris Saulitis                                                                                      0.00                                    3560.25                                 512.00                                  12466.50                                0.00                                    4751.00                                 0.00                                    2150.00                                 3543.00                                 9386.25                                 1702.20                                 17200.00
Anil Sarkar                                                                                          5702.00                                 13587.00                                4320.00                                 5656.00                                 3403.70                                 10003.00                                3860.00                                 8669.00                                 6276.00                                 24257.80                                8686.40                                 3159.00
Anindya Ghatak                                                                                       6227.40                                 10751.00                                5938.00                                 6801.00                                 16309.60                                2392.05                                 12439.65                                16435.30                                5430.60                                 379.40                                  3234.80                                 14797.10
Anna Gyarmathi                                                                                       0.00                                    8384.00                                 3735.80                                 5233.00                                 6103.40                                 6578.00                                 8890.00                                 8382.00                                 6488.00                                 4799.00                                 3375.00                                 5653.80
Anna Mazzanti                                                                                        9992.50                                 3979.50                                 14708.00                                1425.00                                 2190.00                                 11633.80                                8416.00                                 1568.00                                 6031.00                                 4804.00                                 7908.00                                 11524.40
Annette  Hetu                                                                                        0.00                                    5089.00                                 857.60                                  7572.00                                 4660.90                                 0.00                                    18300.40                                392.00                                  6150.00                                 11153.00                                2097.00                                 2130.00
Arijit Bhuiyan                                                                                       6877.40                                 195.00                                  1700.00                                 2123.00                                 1882.80                                 6216.00                                 11694.50                                16563.60                                9647.00                                 2793.40                                 16046.00                                11816.90
Arka Chatterjee                                                                                      0.00                                    7257.90                                 5888.40                                 14951.15                                20825.30                                11689.50                                1270.90                                 0.00                                    6801.00                                 5225.40                                 15355.00                                695.50
Baalaamjali Devulapalli                                                                              4153.35                                 0.00                                    2431.00                                 21893.00                                10111.50                                15755.00                                15923.85                                177.00                                  10636.10                                875.00                                  7791.00                                 13653.20
Bahaar Asef zade                                                                                     24699.00                                0.00                                    6922.00                                 27939.40                                2864.75                                 22501.60                                5297.00                                 741.00                                  3900.80                                 9919.00                                 2555.20                                 5248.00
Bala Dixit                                                                                           6733.80                                 808.00                                  10300.50                                658.00                                  0.00                                    5090.00                                 4334.00                                 435.50                                  5775.75                                 14822.15                                528.00                                  10964.50
Baran Jonsson                                                                                        19534.00                                900.00                                  3352.00                                 8689.80                                 3751.60                                 2586.00                                 10199.15                                2745.00                                 2409.20                                 0.00                                    6104.60                                 0.00
Be Trang                                                                                             5703.00                                 9111.00                                 12064.00                                0.00                                    3718.00                                 11825.00                                6776.60                                 5617.50                                 8708.50                                 9751.40                                 16764.70                                0.00
Bhaamini Palagummi                                                                                   0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Bhaavan Rai                                                                                          13876.00                                13361.60                                6136.70                                 4201.00                                 2849.20                                 4789.05                                 10245.00                                1510.00                                 16507.60                                10317.05                                7393.00                                 5145.25
Bhadram Kamasamudram                                                                                 15963.00                                411.00                                  10445.80                                14974.80                                3139.00                                 9142.00                                 15083.00                                8388.80                                 1499.00                                 7499.00                                 24306.60                                13313.80
Bhagavaan Atluri                                                                                     8420.50                                 766.00                                  1904.00                                 15440.40                                5701.00                                 334.00                                  10550.15                                8724.75                                 4156.40                                 674.70                                  11126.25                                6905.50
Bhagavateeprasaad Malladi                                                                            14081.00                                0.00                                    13285.40                                12368.60                                0.00                                    477.00                                  0.00                                    3092.00                                 10168.70                                0.00                                    6161.20                                 11692.50
Bhagavati Vinjamuri                                                                                  4820.20                                 6044.00                                 2346.00                                 174.00                                  10098.80                                6297.00                                 11500.00                                11234.65                                8604.40                                 9660.00                                 5476.00                                 2206.50
Bijoya Thakur                                                                                        7543.60                                 0.00                                    2259.00                                 1222.00                                 3626.30                                 1937.50                                 5978.50                                 2232.50                                 7365.00                                 11695.00                                1323.40                                 11083.60
Biju Deb                                                                                             2139.25                                 1743.00                                 0.00                                    12364.05                                3488.00                                 7804.60                                 1356.00                                 4271.00                                 4281.00                                 7535.60                                 6117.00                                 10574.00
Bimla PrabhupÄda                                                                                    1512.00                                 4330.50                                 4079.40                                 31710.00                                11821.30                                5806.40                                 6889.50                                 9277.40                                 7997.00                                 7418.00                                 532.00                                  1626.00
Bing Han                                                                                             437.50                                  6264.00                                 5050.60                                 4498.80                                 8559.80                                 1380.60                                 14343.00                                0.00                                    4541.60                                 13982.60                                2466.60                                 6778.00
Bishwa Chatterjee                                                                                    985.00                                  3828.40                                 2430.00                                 8251.50                                 14541.00                                1225.80                                 15252.30                                5728.00                                 781.30                                  4833.80                                 2336.00                                 5650.00
Camille Authier                                                                                      3525.00                                 7392.00                                 12068.60                                6556.60                                 4119.70                                 13612.50                                17822.60                                3016.60                                 1585.40                                 5145.00                                 620.00                                  3924.40
Can ozcan                                                                                            19509.60                                0.00                                    0.00                                    2726.00                                 11690.00                                5977.00                                 1512.00                                 1022.00                                 4065.00                                 0.00                                    424.00                                  10562.00
Caterina Pinto                                                                                       6929.00                                 3468.60                                 7512.90                                 10140.50                                10634.00                                2098.25                                 3825.60                                 13630.00                                277.50                                  1986.00                                 4884.00                                 1752.00
Celica Barajas                                                                                       0.00                                    2770.00                                 0.00                                    2827.80                                 14218.50                                3536.00                                 2463.00                                 12889.15                                12299.00                                224.00                                  5613.35                                 2787.80
Chaayaadaevi Sonti                                                                                   4322.25                                 3568.20                                 3303.00                                 15884.00                                13060.30                                5581.60                                 5290.30                                 21421.20                                11692.60                                4787.00                                 5451.20                                 1272.00
Chandana Shasthri                                                                                    6712.20                                 3196.00                                 10793.25                                5038.60                                 5091.40                                 3975.80                                 6726.80                                 7221.00                                 7622.60                                 4618.00                                 77.00                                   399.60
Chandrashekhar Dasgupta                                                                              3103.20                                 5519.25                                 10791.50                                14342.00                                942.00                                  11099.00                                4222.00                                 11332.00                                7914.60                                 13809.00                                4855.00                                 9699.00
Chin-Sun Chang                                                                                       16192.95                                0.00                                    10291.50                                4004.00                                 7357.00                                 5043.80                                 6071.00                                 9502.00                                 8334.00                                 8649.00                                 4205.00                                 21365.00
Chompoo Atitarn                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    15404.00                                4346.00                                 472.00                                  13298.20                                0.00                                    1649.00
Christian Couet                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Chuan Wattanasin                                                                                     10897.80                                18117.70                                0.00                                    0.00                                    7821.00                                 1271.60                                 1442.00                                 5431.00                                 2158.80                                 5586.00                                 3051.00                                 0.00
Clarissa Manfrin                                                                                     15386.00                                16870.00                                7903.00                                 3483.75                                 2836.00                                 9232.20                                 5413.20                                 3452.80                                 1891.00                                 14171.00                                354.00                                  8276.40
Cong Hoa                                                                                             0.00                                    0.00                                    15751.00                                5436.00                                 18159.85                                21344.70                                50642.75                                7201.20                                 1617.00                                 3284.60                                 10791.60                                2580.00
Cosmina Vlad                                                                                         5123.50                                 10842.00                                4100.50                                 11753.00                                2509.00                                 1897.25                                 7636.10                                 3072.00                                 9267.00                                 17125.00                                9217.00                                 6276.00
Crina Grasu                                                                                          11474.00                                2021.60                                 1167.20                                 10378.00                                0.00                                    340.00                                  4377.00                                 12038.00                                6599.00                                 16184.50                                20061.00                                4768.00
Cuneyt Arslan                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    12601.75                                25108.00                                10412.00                                7434.75
Daakshaayaani Kommineni                                                                              2808.00                                 5560.20                                 3986.00                                 4247.00                                 10059.25                                7592.50                                 6897.15                                 23998.40                                3213.25                                 0.00                                    0.00                                    1387.80
Daakshaayaani Sankaramanchi                                                                          7901.65                                 0.00                                    6927.40                                 32164.00                                6631.00                                 5798.60                                 4407.50                                 1183.50                                 0.00                                    2890.00                                 22700.00                                7777.40
Daevasree Samavedam                                                                                  4159.80                                 14831.20                                217.00                                  1845.75                                 10580.10                                9693.00                                 0.00                                    5754.00                                 0.00                                    16017.00                                9053.75                                 15880.40
Damodar Shenoy                                                                                       0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Damodara Trivedi                                                                                     0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    6001.00
Daniel Martensson                                                                                    5226.80                                 3928.50                                 1670.00                                 5651.65                                 30808.30                                1704.00                                 2846.00                                 0.00                                    3511.00                                 546.00                                  0.00                                    3432.20
Daniella Cavalcante                                                                                  3092.70                                 4544.40                                 4642.00                                 0.00                                    1264.00                                 988.80                                  1927.00                                 11583.00                                1590.00                                 2100.00                                 7661.05                                 0.00
Darshana Madhunapantula                                                                              5666.60                                 5440.60                                 3398.25                                 0.00                                    2572.55                                 13692.40                                8255.25                                 13658.75                                0.00                                    6616.00                                 571.60                                  3642.80
David Jaramillo                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    397.00                                  7078.20
David Novacek                                                                                        512.00                                  4450.25                                 4797.60                                 0.00                                    224.00                                  492.00                                  1546.20                                 10898.40                                4502.25                                 1653.50                                 2405.00                                 3564.00
David safranek                                                                                       2546.20                                 672.50                                  0.00                                    0.00                                    6171.15                                 6043.00                                 3244.40                                 2376.00                                 9044.50                                 3785.40                                 2424.00                                 5144.00
Debbie Molina                                                                                        2855.00                                 0.00                                    876.00                                  0.00                                    4433.90                                 2843.20                                 8706.00                                 9858.90                                 2362.80                                 11256.20                                23350.50                                12385.80
Dena Glissen                                                                                         8370.00                                 3164.00                                 366.00                                  3251.40                                 2861.00                                 14481.00                                16069.30                                0.00                                    4910.00                                 9820.40                                 3785.30                                 1369.70
Devraj Rao                                                                                           0.00                                    4469.40                                 4599.00                                 3042.80                                 2478.00                                 4255.20                                 6378.60                                 732.00                                  8806.20                                 12563.00                                1218.00                                 5126.00
Dhaatri Chavva                                                                                       10854.80                                2423.50                                 12000.80                                3983.00                                 12229.10                                28718.60                                3593.20                                 6051.00                                 4668.00                                 3124.00                                 12222.80                                4840.80
Dhanishta Mokkapati                                                                                  15862.20                                0.00                                    19490.80                                0.00                                    14825.50                                0.00                                    5660.50                                 268.00                                  2008.00                                 2639.00                                 6527.90                                 5374.00
