CustomerName                                                                                         Sales_2013M1                            Sales_2013M2                            Sales_2013M3                            Sales_2013M4                            Sales_2013M5                            Sales_2013M6                            Sales_2013M7                            Sales_2013M8                            Sales_2013M9                            Sales_2013M10                           Sales_2013M11                           Sales_2013M12
Amrita Ganguly                                                                                       0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Ana Florea                                                                                           2704.00                                 1958.40                                 10593.00                                5206.00                                 26247.00                                3313.00                                 16640.60                                130.00                                  9488.80                                 16036.40                                3075.00                                 4200.00
Anand Mudaliyar                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Anca Gogean                                                                                          8959.50                                 3859.00                                 6050.00                                 6181.70                                 2550.25                                 32894.60                                4875.80                                 2203.50                                 3406.00                                 5170.10                                 8718.40                                 8501.90
Andris Saulitis                                                                                      2483.00                                 1598.00                                 4222.50                                 6006.00                                 460.80                                  9581.00                                 267.50                                  3005.05                                 913.00                                  5626.25                                 1829.00                                 20043.60
Anil Sarkar                                                                                          0.00                                    0.00                                    5927.70                                 2735.00                                 21506.10                                10745.00                                2263.00                                 1301.00                                 0.00                                    2010.00                                 3066.00                                 9229.80
Anindya Ghatak                                                                                       6089.30                                 17156.20                                2818.00                                 2912.00                                 6513.00                                 7464.00                                 2745.00                                 308.00                                  6972.00                                 5071.00                                 1080.00                                 0.00
Anna Gyarmathi                                                                                       412.00                                  1467.00                                 13697.45                                1437.40                                 15372.60                                476.80                                  13751.00                                8277.50                                 7264.00                                 4027.65                                 8464.80                                 12829.00
Anna Mazzanti                                                                                        5064.20                                 6319.00                                 11758.00                                14372.50                                6253.90                                 13204.40                                4983.75                                 384.00                                  2724.00                                 11696.00                                0.00                                    15593.40
Annette  Hetu                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    6824.50                                 2735.00                                 5248.80                                 1533.25                                 8429.75                                 4953.00
Arijit Bhuiyan                                                                                       0.00                                    2671.00                                 0.00                                    6930.00                                 13481.40                                549.00                                  20404.80                                4561.50                                 19907.75                                2816.75                                 7539.60                                 3472.00
Arka Chatterjee                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Baalaamjali Devulapalli                                                                              0.00                                    6877.20                                 8164.00                                 5577.00                                 5040.00                                 23307.00                                2935.00                                 3131.60                                 2366.00                                 0.00                                    0.00                                    0.00
Bahaar Asef zade                                                                                     13846.00                                21891.00                                1551.00                                 11157.00                                9976.60                                 4403.00                                 11845.75                                7199.80                                 944.00                                  5577.05                                 1337.00                                 2376.00
Bala Dixit                                                                                           13775.10                                3749.00                                 3466.20                                 9930.80                                 1120.00                                 4671.50                                 4068.50                                 3045.60                                 10665.00                                4568.50                                 9484.00                                 14787.80
Baran Jonsson                                                                                        5790.00                                 4871.80                                 13194.75                                2971.00                                 0.00                                    6833.00                                 771.00                                  5920.00                                 11132.00                                22262.40                                11880.80                                4385.80
Be Trang                                                                                             6178.65                                 2071.40                                 21170.60                                882.00                                  14081.00                                3056.60                                 6888.80                                 4140.20                                 8524.45                                 4492.00                                 6984.00                                 0.00
Bhaamini Palagummi                                                                                   0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Bhaavan Rai                                                                                          1073.20                                 4647.60                                 17649.55                                15315.25                                5401.00                                 11323.05                                9268.00                                 6250.00                                 3559.00                                 7550.50                                 1929.00                                 12853.50
Bhadram Kamasamudram                                                                                 0.00                                    0.00                                    0.00                                    384.00                                  4883.60                                 6635.30                                 1227.40                                 5295.90                                 2095.50                                 5486.20                                 3380.00                                 0.00
Bhagavaan Atluri                                                                                     1659.80                                 1479.20                                 1806.00                                 7189.65                                 5775.00                                 8280.00                                 1473.60                                 9320.20                                 1278.80                                 4871.00                                 764.40                                  9094.00
Bhagavateeprasaad Malladi                                                                            0.00                                    0.00                                    0.00                                    0.00                                    2504.00                                 2080.00                                 3422.40                                 15517.10                                5424.50                                 0.00                                    4234.50                                 313.25
Bhagavati Vinjamuri                                                                                  312.00                                  5267.00                                 3116.00                                 2891.00                                 8313.00                                 2643.20                                 7037.00                                 21118.20                                5488.10                                 1168.50                                 1233.60                                 0.00
Bijoya Thakur                                                                                        953.70                                  0.00                                    5175.00                                 767.50                                  6112.00                                 13332.00                                0.00                                    7476.70                                 10315.00                                8436.40                                 2489.00                                 5751.65
Biju Deb                                                                                             12394.60                                0.00                                    2852.00                                 10167.00                                3132.60                                 14818.00                                7009.80                                 2509.10                                 2048.00                                 961.00                                  13189.20                                0.00
Bimla PrabhupÄda                                                                                    2256.00                                 2175.60                                 9646.60                                 13804.00                                4769.00                                 20463.00                                1453.00                                 236.35                                  0.00                                    14693.00                                12328.00                                1675.00
Bing Han                                                                                             544.00                                  5681.00                                 1450.00                                 2358.00                                 6201.00                                 1942.50                                 5418.00                                 3646.00                                 4546.00                                 2162.80                                 0.00                                    7240.00
Bishwa Chatterjee                                                                                    979.75                                  11942.80                                20984.60                                8318.00                                 1041.00                                 15523.20                                5513.00                                 11604.00                                2537.50                                 14101.00                                7687.40                                 32287.90
Camille Authier                                                                                      10331.35                                2879.40                                 545.00                                  7428.00                                 6507.00                                 0.00                                    5592.00                                 23376.50                                9619.00                                 7017.60                                 13135.00                                12721.20
Can ozcan                                                                                            4921.00                                 15260.00                                5786.10                                 5732.90                                 18891.45                                4642.00                                 0.00                                    0.00                                    6903.60                                 698.40                                  1743.00                                 8808.80
Caterina Pinto                                                                                       6688.00                                 5925.40                                 3292.50                                 0.00                                    348.00                                  6709.10                                 2028.00                                 11438.40                                17764.00                                7751.00                                 3850.25                                 3872.00
Celica Barajas                                                                                       11741.00                                0.00                                    9645.20                                 10444.00                                14820.00                                3250.00                                 10756.00                                992.00                                  0.00                                    2962.00                                 1859.00                                 20517.65
Chaayaadaevi Sonti                                                                                   9021.00                                 2727.00                                 2744.00                                 11125.00                                0.00                                    20892.80                                4530.80                                 2787.75                                 11325.50                                0.00                                    0.00                                    5224.00
Chandana Shasthri                                                                                    4084.20                                 907.00                                  0.00                                    12655.80                                760.00                                  7072.40                                 1103.00                                 2872.00                                 2345.00                                 14057.20                                116.00                                  0.00
Chandrashekhar Dasgupta                                                                              0.00                                    315.00                                  0.00                                    11138.20                                864.00                                  5518.60                                 9200.00                                 7422.50                                 17695.80                                7305.80                                 7744.10                                 5885.40
Chin-Sun Chang                                                                                       18270.00                                1182.60                                 3742.00                                 14484.00                                0.00                                    2373.00                                 10347.40                                5473.20                                 530.50                                  4251.40                                 7578.50                                 2652.00
Chompoo Atitarn                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Christian Couet                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Chuan Wattanasin                                                                                     3226.00                                 5014.00                                 6684.00                                 195.00                                  15273.40                                7694.90                                 1042.00                                 11373.75                                21361.35                                0.00                                    12308.80                                8694.75
Clarissa Manfrin                                                                                     9218.00                                 0.00                                    5714.80                                 6312.00                                 3789.70                                 3909.00                                 8634.50                                 0.00                                    5702.40                                 4935.00                                 15620.00                                2466.50
Cong Hoa                                                                                             2411.40                                 14647.00                                14004.00                                9031.80                                 8153.35                                 928.00                                  4425.60                                 6364.00                                 2192.00                                 1705.40                                 16105.20                                3030.50
Cosmina Vlad                                                                                         2210.20                                 1664.00                                 11033.90                                4423.00                                 3884.80                                 7498.40                                 10994.10                                6418.00                                 1889.60                                 7942.00                                 2765.00                                 1289.00
Crina Grasu                                                                                          2357.20                                 0.00                                    13508.65                                11738.00                                17515.40                                4860.00                                 5682.75                                 2778.40                                 1383.25                                 4041.75                                 3029.35                                 602.00
Cuneyt Arslan                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Daakshaayaani Kommineni                                                                              5261.40                                 4365.40                                 5818.00                                 3748.00                                 5962.40                                 6054.70                                 12504.50                                14181.80                                2960.00                                 13764.75                                1409.35                                 6948.00
Daakshaayaani Sankaramanchi                                                                          7505.75                                 8837.60                                 6009.80                                 12249.00                                6046.05                                 0.00                                    7511.80                                 2104.00                                 2775.20                                 12796.05                                11756.80                                2159.80
Daevasree Samavedam                                                                                  1435.00                                 513.00                                  3576.00                                 4412.70                                 8113.20                                 4846.00                                 1042.00                                 3290.00                                 720.00                                  1866.90                                 37781.05                                756.80
Damodar Shenoy                                                                                       0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Damodara Trivedi                                                                                     0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Daniel Martensson                                                                                    2603.50                                 9582.00                                 10753.00                                9981.00                                 5691.25                                 12527.20                                0.00                                    2389.60                                 3425.50                                 15379.80                                5840.00                                 7852.00
Daniella Cavalcante                                                                                  0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
Darshana Madhunapantula                                                                              2070.00                                 0.00                                    10170.90                                5844.50                                 4417.60                                 3280.00                                 1932.90                                 4958.70                                 5852.45                                 3291.80                                 22616.35                                0.00
David Jaramillo                                                                                      0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00
David Novacek                                                                                        0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    21081.50                                12405.00                                3786.00                                 1560.00
David safranek                                                                                       1504.00                                 1976.00                                 4966.40                                 1435.00                                 6737.00                                 16531.00                                11716.00                                2049.00                                 9063.40                                 15927.00                                0.00                                    1729.20
Debbie Molina                                                                                        19461.20                                153.00                                  4375.00                                 3235.00                                 8215.20                                 9233.50                                 12337.20                                0.00                                    5519.00                                 893.00                                  0.00                                    13694.60
Dena Glissen                                                                                         2873.40                                 2468.60                                 0.00                                    6528.00                                 5775.20                                 14543.00                                5297.00                                 2702.40                                 8326.25                                 4273.00                                 15838.00                                7182.40
Devraj Rao                                                                                           10715.50                                3262.00                                 3063.00                                 4010.75                                 4797.40                                 9687.75                                 3378.00                                 4976.00                                 1757.00                                 1571.40                                 4896.00                                 2846.00
Dhaatri Chavva                                                                                       428.00                                  0.00                                    0.00                                    6240.95                                 6052.50                                 5767.00                                 422.50                                  2123.00                                 0.00                                    4777.50                                 1676.00                                 2598.00
Dhanishta Mokkapati                                                                                  446.00                                  12702.50                                3139.00                                 6959.00                                 2637.00                                 4320.00                                 10168.55                                0.00                                    1967.00                                 12131.20                                7509.00                                 840.00
Dhanishta Pullela                                                                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    0.00                                    1504.00                                 4787.60                                 13219.00
