CustomerName                                                                                         Sales_2015Q1                            Sales_2015Q2                            Sales_2015Q3                            Sales_2015Q4
Ioana Florea                                                                                         12016.20                                19187.70                                19059.25                                19299.10
Irma Berzina                                                                                         10520.20                                73062.40                                32184.80                                23897.60
Isa Hulsegge                                                                                         6982.50                                 13615.85                                18425.80                                5905.65
Isidora Morales                                                                                      29836.80                                25953.50                                26872.60                                6721.75
Isidora Urias                                                                                        34975.80                                21096.15                                7822.50                                 17377.90
Ivan Sepulveda                                                                                       30644.65                                21285.80                                14568.80                                17710.00
Ivana Hadrabova                                                                                      0.00                                    0.00                                    4003.00                                 14522.30
Jack Walker                                                                                          21403.00                                13479.70                                8689.40                                 31965.80
Jackson Kolios                                                                                       7670.00                                 9711.15                                 12215.40                                18634.50
Jai Lamble                                                                                           12823.00                                22118.90                                25565.90                                42302.80
Jakub Lukes                                                                                          9794.70                                 21634.20                                26770.65                                7716.20
Jana Fialova                                                                                         20121.15                                31953.45                                22391.70                                42973.95
Jaroslav Fisar                                                                                       0.00                                    0.00                                    0.00                                    0.00
Jasna Cerkez                                                                                         36199.80                                15161.00                                28488.60                                16187.00
Jay Bhuiyan                                                                                          10848.35                                16733.60                                17657.50                                20465.70
Jayanta Thakur                                                                                       18326.50                                14310.45                                15742.60                                49472.25
Jibek Juniskyzy                                                                                      0.00                                    0.00                                    0.00                                    0.00
Jitka Necesana                                                                                       32342.10                                12123.40                                10430.60                                12383.80
Joel Carrillo                                                                                        36121.20                                17580.80                                25164.65                                16724.10
Johanna Hoornstra                                                                                    8257.15                                 31769.80                                9831.00                                 23119.60
Juan Morse                                                                                           16410.80                                21437.50                                8230.70                                 17999.10
Kalyani Benjaree                                                                                     0.00                                    0.00                                    0.00                                    0.00
Kamala Nishad                                                                                        59049.75                                25766.30                                7256.75                                 22539.05
Kamila Michnova                                                                                      36581.05                                25904.00                                7495.40                                 31398.60
Katerina Hadrabova                                                                                   17537.00                                10649.40                                30212.00                                20601.10
Kertu Sokk                                                                                           27704.70                                15243.50                                23834.60                                20727.35
Knut Svensson                                                                                        31049.00                                70755.30                                31733.00                                10052.20
Krishnam Allu                                                                                        8549.95                                 13064.60                                35384.10                                20986.85
Kristi Part                                                                                          6667.60                                 45804.90                                16820.95                                10567.00
Kristiina Ivanov                                                                                     12771.00                                12026.10                                15193.10                                19157.25
Kumar Kamei                                                                                          21468.55                                29117.00                                30161.80                                22971.30
Kumar Naicker                                                                                        16246.00                                22610.40                                13911.80                                23126.50
Kwanjai Saowaluk                                                                                     13594.40                                58665.35                                17392.30                                22999.40
Lakshmi Benipal                                                                                      39058.80                                11891.30                                24586.00                                19035.00
Lana Goransson                                                                                       19068.00                                30778.35                                46825.40                                23839.80
Laszlo Gardenier                                                                                     12508.50                                49223.40                                63942.60                                23957.20
Laura Sykorova                                                                                       7751.00                                 13750.00                                34532.85                                13198.00
Leila Carvalho                                                                                       25135.50                                11664.20                                18256.40                                25220.40
Leonardo Folliero                                                                                    16250.00                                13716.40                                26975.10                                20789.60
Leyla Asef zade                                                                                      24181.00                                12055.65                                40566.35                                24875.60
Leyla Siavashi                                                                                       19020.30                                29661.60                                14449.90                                19341.70
Libuse Kuchtova                                                                                      22356.05                                18369.40                                23696.40                                29478.80
Libuse Valentova                                                                                     23615.30                                15203.25                                44361.65                                16149.00
Liia Orav                                                                                            22863.50                                43119.60                                21903.25                                9746.00
Liidia Lepp                                                                                          18877.45                                17399.70                                29325.50                                9481.00
Lilli Sokk                                                                                           15046.30                                30139.20                                36194.05                                34425.00
Linh Dao                                                                                             42778.10                                10134.50                                23116.65                                29889.30
Lorin Astrom                                                                                         8651.75                                 15203.75                                10260.95                                10442.30
Ludmila Smidova                                                                                      19871.90                                19702.40                                19199.80                                30753.25
Luis Saucedo                                                                                         0.00                                    0.00                                    0.00                                    3016.00
Madhu Dwivedi                                                                                        10020.45                                26234.25                                20998.40                                11679.40
Magdalena Michnova                                                                                   21620.30                                13056.00                                14005.55                                17801.00
Mahavir Sonkar                                                                                       13873.90                                15373.60                                12172.70                                18628.00
Mahmut ozbek                                                                                         16937.10                                20478.20                                47761.85                                22986.80
Maksims Krastins                                                                                     13964.85                                35487.50                                19280.10                                32362.05
Malorie Bousquet                                                                                     16329.40                                21366.40                                29928.05                                9423.50
Manca Hrastovsek                                                                                     23305.95                                10367.20                                13839.50                                20010.40
Manjunatha Karnik                                                                                    26097.20                                46761.10                                14085.30                                29558.05
Marcela Lucescu                                                                                      51310.60                                8404.75                                 16046.10                                22324.80
Marie LeBatelier                                                                                     26618.40                                23148.75                                15761.00                                22525.00
Marija Justina Pasek                                                                                 15254.30                                17139.00                                19615.40                                16903.85
Maryann Huddleston                                                                                   29076.05                                36094.90                                7706.35                                 5418.60
Matteo Cattaneo                                                                                      7562.25                                 21175.05                                28690.50                                47886.50
Matyas Sedlar                                                                                        20661.00                                20950.50                                20431.50                                7959.70
Mauno Laurila                                                                                        33709.20                                25560.90                                21643.80                                36338.10
Meera Patel                                                                                          36132.55                                13463.75                                23531.20                                28623.60
Melani Ravlen                                                                                        36904.75                                10575.40                                51732.40                                6914.00
Mikhail Degtyarev                                                                                    8799.60                                 22960.20                                20468.30                                25022.60
Milinka Zujovic                                                                                      14821.50                                13835.70                                2781.90                                 16256.00
Miriam House                                                                                         10374.85                                39213.80                                33373.15                                16881.25
Nada Ana Slosar                                                                                      30507.10                                20026.50                                27250.50                                11958.00
Nada Jovanovic                                                                                       10461.40                                12935.00                                18183.20                                16768.20
Nadir Seddigh                                                                                        19980.05                                7843.00                                 14200.20                                20906.60
Narendra Tickoo                                                                                      10163.50                                13481.10                                18210.00                                35453.45
Nasrin Omidzadeh                                                                                     18499.40                                46293.85                                31440.00                                8226.55
Neil Farrelly                                                                                        11841.40                                11423.65                                24338.10                                18876.55
Nguyen Banh                                                                                          9365.50                                 19767.75                                24113.05                                32932.10
Nhung Thach                                                                                          12004.20                                17750.40                                26502.10                                6013.50
Nicolo Cattaneo                                                                                      14851.80                                8415.85                                 4948.75                                 18271.00
Nils Kaulins                                                                                         52702.50                                18489.00                                11043.60                                12938.80
Olafs Rozitis                                                                                        12922.65                                11701.05                                5971.20                                 12279.80
Olya Izmaylov                                                                                        29484.80                                11058.50                                9134.60                                 27923.15
Om Yadav                                                                                             15431.15                                37513.85                                34732.20                                21742.40
Pari Hosseini                                                                                        18185.80                                6208.80                                 22406.75                                8467.25
Pavel Bogdanov                                                                                       38078.35                                16795.60                                17457.15                                12252.00
Philip Walker                                                                                        11697.40                                25897.50                                26649.20                                12466.10
Phoung Cu                                                                                            26988.00                                22707.55                                19203.70                                22622.10
Pinja Jantunen                                                                                       32940.65                                28478.15                                10579.70                                28090.00
Prabodh Nair                                                                                         11450.20                                32663.85                                33586.30                                22646.40
Radha Barua                                                                                          19665.30                                23101.00                                20829.25                                19718.40
Raghu Sandhu                                                                                         19565.20                                5530.80                                 19028.10                                26560.00
Raj Verma                                                                                            22087.75                                22014.25                                18231.25                                16838.00
Rajeev Sandhu                                                                                        39733.10                                17877.40                                29338.00                                14814.20
Rani Ganguly                                                                                         26876.55                                35827.65                                16119.20                                13992.60
Ratan Poddar                                                                                         21625.80                                32196.90                                1110.75                                 15331.60
Richard Friar                                                                                        13214.40                                26056.95                                18284.45                                22176.35
Richard Zahradnicek                                                                                  46534.70                                28307.50                                32983.50                                23518.50
Risto Valbe                                                                                          34266.40                                7450.20                                 49833.85                                5947.50
Rodrigo Figueiredo                                                                                   21098.90                                12404.10                                5008.40                                 13694.60
Roko Ilic                                                                                            30046.20                                16757.80                                22950.40                                21099.70
Sabine Alksne                                                                                        14375.00                                11403.25                                20827.00                                15943.75
Sabine Zalite                                                                                        14554.50                                22073.00                                35593.15                                9802.20
Santiago Vera                                                                                        24830.45                                27093.70                                13884.60                                8525.50
Sara Huiting                                                                                         19057.10                                11127.00                                20485.00                                10501.15
Sara Walkky                                                                                          1900.30                                 11264.00                                33276.55                                14013.00
Satish Mittal                                                                                        32268.25                                18873.10                                16755.00                                29329.90
Seo-yun Paik                                                                                         35330.25                                17249.30                                42431.90                                27525.05
Sercan Celik                                                                                         26098.20                                15193.65                                10705.80                                18390.75
Serdar ozCelik                                                                                       8225.10                                 10726.00                                16176.00                                19211.45
Serdar ozden                                                                                         27464.60                                17443.10                                21722.20                                25391.10
Shah Alizadeh                                                                                        1892.05                                 28613.75                                16040.10                                14081.90
Shantanu Huq                                                                                         7642.75                                 21232.90                                59808.70                                13891.75
Shi Tu                                                                                               9870.00                                 40860.65                                5456.10                                 21582.60
Shyam Poddar                                                                                         22486.30                                33858.00                                28816.60                                31781.00
Sointu Savonheimo                                                                                    30839.60                                16249.05                                19299.60                                9414.10
Som Mukherjee                                                                                        28243.90                                38593.25                                22449.80                                18083.00
Staffan Persson                                                                                      11729.25                                8233.25                                 16614.00                                23316.00
Stefan Selezeanu                                                                                     32223.80                                26837.15                                27456.90                                14421.50
Sumati Bhat                                                                                          28033.30                                44574.60                                13457.90                                14033.40
Sumati Chatterjee                                                                                    30052.25                                3658.95                                 33319.00                                39449.70
Suparna Bhattacharya                                                                                 26171.40                                9540.00                                 13362.50                                32339.40
Surendra Sahu                                                                                        17877.50                                24433.00                                6581.00                                 12923.40
Svetlana Todorovic                                                                                   63020.40                                24480.70                                19067.50                                34845.50
Sylvie Laramee                                                                                       0.00                                    0.00                                    0.00                                    23497.50
Tai Bach                                                                                             18955.20                                6855.00                                 38584.20                                23055.60
Tailspin Toys (Absecon, NJ)                                                                          7330.40                                 13776.20                                19252.30                                26113.00
Tailspin Toys (Aceitunas, PR)                                                                        20583.40                                19280.80                                16933.25                                8907.00
Tailspin Toys (Airport Drive, MO)                                                                    10109.35                                18124.30                                24209.15                                36940.80
Tailspin Toys (Alstead, NH)                                                                          6603.25                                 5541.20                                 32425.00                                12172.70
Tailspin Toys (Amanda Park, WA)                                                                      25891.00                                24229.40                                13802.65                                20695.10
Tailspin Toys (Andrix, CO)                                                                           17045.00                                12653.75                                25497.60                                26815.50
Tailspin Toys (Annamoriah, WV)                                                                       21343.15                                33454.60                                13791.40                                19446.10
Tailspin Toys (Antares, AZ)                                                                          6215.25                                 10404.90                                31365.15                                34785.90
Tailspin Toys (Antonito, CO)                                                                         16055.00                                35183.10                                21135.80                                18756.60
Tailspin Toys (Arbor Vitae, WI)                                                                      41189.00                                26418.50                                10074.00                                27191.40
Tailspin Toys (Arietta, NY)                                                                          34797.60                                19684.50                                16534.10                                6242.00
Tailspin Toys (Armstrong Creek, WI)                                                                  14915.85                                8138.00                                 20194.10                                20004.60
Tailspin Toys (Arrow Rock, MO)                                                                       10455.45                                11523.85                                17419.00                                13844.90
Tailspin Toys (Ashtabula, OH)                                                                        15505.00                                10129.00                                20927.00                                16729.00
Tailspin Toys (Aspen Park, CO)                                                                       18051.20                                13097.60                                14775.00                                25614.60
Tailspin Toys (Astor Park, FL)                                                                       13090.40                                29895.00                                28821.60                                17584.25
Tailspin Toys (Avenal, CA)                                                                           10194.00                                18686.75                                21215.45                                31410.00
Tailspin Toys (Baraboo, WI)                                                                          29742.60                                11415.70                                18203.00                                19856.30
Tailspin Toys (Batson, TX)                                                                           16893.50                                26125.85                                15382.60                                22651.50
Tailspin Toys (Belgreen, AL)                                                                         19937.85                                14492.20                                31172.10                                11586.40
Tailspin Toys (Bernie, MO)                                                                           26047.30                                17296.90                                16232.45                                25662.90
Tailspin Toys (Bethania, NC)                                                                         23968.90                                17605.20                                22295.20                                10905.20
Tailspin Toys (Big Moose, NY)                                                                        24187.80                                21449.00                                44191.85                                18660.10
Tailspin Toys (Biscay, MN)                                                                           23688.00                                15239.80                                8291.20                                 29473.10
Tailspin Toys (Bow Mar, CO)                                                                          7568.70                                 7027.30                                 27129.00                                25744.70
Tailspin Toys (Bowlus, MN)                                                                           32336.85                                8224.60                                 65092.10                                24607.50
Tailspin Toys (Boyden Arbor, SC)                                                                     27710.75                                26400.25                                24921.95                                20117.00
Tailspin Toys (Bratenahl, OH)                                                                        25849.50                                21923.05                                17619.05                                25603.40
Tailspin Toys (Brown City, MI)                                                                       18601.70                                34910.70                                25747.65                                20824.90
Tailspin Toys (Buell, MO)                                                                            31261.10                                37851.75                                31615.75                                22153.00
Tailspin Toys (Carbonville, UT)                                                                      13068.60                                16776.60                                20391.80                                32813.75
Tailspin Toys (Caselton, NV)                                                                         31031.80                                13406.90                                14767.20                                19698.35
Tailspin Toys (Cherry Grove Beach, SC)                                                               7525.80                                 16180.50                                28119.85                                24339.30
Tailspin Toys (Cheyenne Wells, CO)                                                                   18317.65                                25747.00                                39109.85                                10111.50
Tailspin Toys (Clewiston, FL)                                                                        46816.90                                6271.20                                 43017.35                                18835.90
Tailspin Toys (Cokato, MN)                                                                           34820.75                                18118.00                                14874.65                                9339.00
Tailspin Toys (College Place, WA)                                                                    9434.30                                 3476.50                                 3878.00                                 10960.60
Tailspin Toys (Coney Island, MO)                                                                     28978.00                                46873.70                                18861.15                                20671.20
Tailspin Toys (Corfu, NY)                                                                            11135.00                                31738.25                                22793.20                                16245.10
Tailspin Toys (Cortaro, AZ)                                                                          17178.75                                18926.00                                16071.50                                26231.40
Tailspin Toys (Crary, ND)                                                                            13959.30                                4730.00                                 4876.00                                 24769.60
Tailspin Toys (Cundiyo, NM)                                                                          13027.60                                41660.30                                12224.50                                12290.60
Tailspin Toys (Dahlia, NM)                                                                           13861.20                                23067.25                                31750.45                                26790.20
Tailspin Toys (Dallardsville, TX)                                                                    16931.30                                15891.80                                7234.00                                 18733.25
Tailspin Toys (Devault, PA)                                                                          14134.70                                15060.20                                28431.40                                21015.80
Tailspin Toys (Diablock, KY)                                                                         24208.20                                11755.75                                10251.25                                16364.90
Tailspin Toys (Donner, LA)                                                                           13414.20                                3499.00                                 20152.30                                19161.75
Tailspin Toys (Dracut, MA)                                                                           21456.00                                10272.00                                33645.75                                14573.70
Tailspin Toys (Dundarrach, NC)                                                                       5881.80                                 41977.60                                10561.90                                5915.80
Tailspin Toys (East Dailey, WV)                                                                      22996.65                                15573.95                                9492.65                                 2737.00
Tailspin Toys (East Fultonham, OH)                                                                   18206.60                                11782.50                                65918.90                                23469.30
Tailspin Toys (East Portal, CO)                                                                      20236.50                                27787.40                                20422.30                                23742.00
Tailspin Toys (Eastchester, NY)                                                                      40788.20                                20749.20                                26736.25                                16410.00
Tailspin Toys (Eden Valley, MN)                                                                      23493.40                                25908.00                                30074.85                                17799.40
Tailspin Toys (Edgartown, MA)                                                                        17023.70                                19226.80                                30342.30                                10868.20
Tailspin Toys (Ekron, KY)                                                                            13161.90                                22567.90                                11901.40                                17474.95
Tailspin Toys (El Centro, CA)                                                                        36086.85                                28022.80                                14681.50                                42088.65
Tailspin Toys (Elrosa, MN)                                                                           23256.10                                47438.25                                11512.60                                16432.05
Tailspin Toys (Eulaton, AL)                                                                          19798.00                                8918.25                                 17565.00                                21403.20
Tailspin Toys (Fairfield Glade, TN)                                                                  17157.30                                8142.80                                 20156.30                                6309.50
Tailspin Toys (Fieldbrook, CA)                                                                       30870.75                                83050.90                                12771.70                                9495.35
Tailspin Toys (Fishtail, MT)                                                                         5147.00                                 16661.00                                22290.00                                11688.25
Tailspin Toys (Francis Mills, NJ)                                                                    12171.00                                11029.00                                8151.00                                 10138.60
Tailspin Toys (Frankewing, TN)                                                                       12538.15                                2863.60                                 17727.80                                43416.00
Tailspin Toys (Furley, KS)                                                                           34718.05                                10474.60                                12435.20                                22494.00
Tailspin Toys (Gardere, LA)                                                                          35061.50                                31480.50                                18626.30                                22233.55
Tailspin Toys (Gasport, NY)                                                                          8745.50                                 14322.45                                7225.10                                 41523.15
Tailspin Toys (Glen Avon, CA)                                                                        19851.95                                26505.95                                21781.80                                10034.45
Tailspin Toys (Glen Park, NY)                                                                        21062.75                                39058.60                                7097.00                                 25451.20
Tailspin Toys (Goffstown, NH)                                                                        13465.75                                40760.50                                15181.85                                31408.80
Tailspin Toys (Good Hart, MI)                                                                        19927.40                                29134.00                                17449.80                                18378.20
Tailspin Toys (Great Neck Estates, NY)                                                               34112.60                                20701.10                                18346.50                                5640.00
Tailspin Toys (Guin, AL)                                                                             14806.65                                18506.70                                10490.50                                29637.40
Tailspin Toys (Gum Branch, GA)                                                                       23029.00                                45416.20                                31095.00                                30201.45
Tailspin Toys (Hahira, GA)                                                                           24377.40                                19814.95                                18061.00                                33250.60
Tailspin Toys (Hambleton, WV)                                                                        21696.80                                23708.40                                26303.60                                35354.55
Tailspin Toys (Hanoverton, OH)                                                                       43028.10                                22009.50                                36845.30                                11972.00
Tailspin Toys (Hardeeville, SC)                                                                      23363.45                                5948.50                                 21020.25                                20230.30
Tailspin Toys (Hayes Center, NE)                                                                     14949.70                                41544.70                                34767.70                                44531.45
Tailspin Toys (Head Office)                                                                          15859.80                                46419.30                                24999.50                                24829.60
Tailspin Toys (Hedrick, IA)                                                                          6048.00                                 17464.35                                13011.00                                7303.80
Tailspin Toys (Heilwood, PA)                                                                         8760.90                                 8151.15                                 25969.80                                7851.30
Tailspin Toys (Hiteman, IA)                                                                          20866.40                                24701.55                                18290.40                                7854.20
Tailspin Toys (Hodgdon, ME)                                                                          15967.00                                26411.20                                18195.90                                16784.50
Tailspin Toys (Hollywood Park, TX)                                                                   10285.90                                23949.85                                22346.60                                19329.20
Tailspin Toys (Howells, NE)                                                                          4069.20                                 7837.00                                 8285.25                                 9161.35
Tailspin Toys (Idria, CA)                                                                            16746.00                                22731.95                                21785.90                                11174.20
Tailspin Toys (Ikatan, AK)                                                                           29752.15                                9143.00                                 18943.80                                36998.65
Tailspin Toys (Imlaystown, NJ)                                                                       13900.45                                23028.55                                35050.20                                18624.80
Tailspin Toys (Impact, TX)                                                                           4894.00                                 13015.05                                7277.45                                 16545.60
Tailspin Toys (Indios, PR)                                                                           13104.80                                14050.00                                26325.60                                5201.00
Tailspin Toys (Inguadona, MN)                                                                        17192.95                                10672.90                                33339.25                                23850.35
Tailspin Toys (Jemison, AL)                                                                          26272.00                                22355.75                                14510.30                                13985.40
Tailspin Toys (Jessie, ND)                                                                           11543.10                                30383.80                                9709.50                                 6568.80
Tailspin Toys (Kalvesta, KS)                                                                         12224.70                                24120.70                                23452.45                                16404.70
Tailspin Toys (Kerby, OR)                                                                            6069.00                                 6594.50                                 33889.55                                12616.00
